ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
ALEC,2.01,2.11,-4.7393,,,,,,2026-03-27
REPL,7.2,7.54,-4.5093,,,,,,2026-03-27
BCYC,4.295,4.49,-4.343,,,,,,2026-03-27
VRDN,28.04,28.15,-0.3908,,,,,,2026-03-27
TVTX,27.44,27.92,-1.7192,,,,,,2026-03-27
AUTL,1.225,1.3,-5.7692,,,,,,2026-03-27
GOSS,0.3525,0.3806,-7.3831,,,,,,2026-03-27
ABCL,3.275,3.35,-2.2388,,6.515,1.9,-49.7314,72.3684,2026-03-27
CGC,0.8932,0.9313,-4.0911,,,,,,2026-03-27
VYGR,3.97,4.135,-3.9903,,,,,,2026-03-27
LQDA,35.705,36.76,-2.87,,,,,,2026-03-27
CNTA,28.93,29.39,-1.5652,,,,,,2026-03-27
SYRE,47.7,47.54,0.3366,,,,,,2026-03-27
IBRX,7.455,7.365,1.222,,,,,,2026-03-27
WVE,6.465,6.2,4.2742,,,,,,2026-03-27
SLDB,7.13,7.74,-7.8811,,,,,,2026-03-27
CLYM,7.17,7.105,0.9148,,,,,,2026-03-27
ALMS,25.15,26.255,-4.2087,,,,,,2026-03-27
AARD,3.54,3.51,0.8547,-71.9048,17.68,3.36,-79.9774,5.3571,2026-03-27
MNKD,2.31,2.295,0.6536,,,,,,2026-03-27
NBP,2.565,2.555,0.3914,,,,,,2026-03-27
NMRA,2.33,2.485,-6.2374,,,,,,2026-03-27
TNYA,0.6725,0.7046,-4.5558,,,,,,2026-03-27
ABOS,2.28,2.55,-10.5882,,,,,,2026-03-27
CMPX,5.2,5.34,-2.6217,,,,,,2026-03-27
STRO,24.955,24.56,1.6083,,,,,,2026-03-27
IMMX,8.2,8.73,-6.071,,,,,,2026-03-27
RGNX,7.77,8.27,-6.0459,,,,,,2026-03-27
CADL,4.81,4.88,-1.4344,,,,,,2026-03-27
IPSC,2.0,2.06,-2.9126,,,,,,2026-03-27
KRRO,10.33,10.89,-5.1423,,,,,,2026-03-27
TRDA,12.01,12.26,-2.0392,,,,,,2026-03-27
SVRA,5.2,5.24,-0.7634,,,,,,2026-03-27
CYTK,62.77,63.53,-1.1963,,,,,,2026-03-27
OCGN,1.885,1.98,-4.798,,,,,,2026-03-27
ALLO,2.285,2.42,-5.5785,,,,,,2026-03-27
KYTX,7.89,8.01,-1.4981,,,,,,2026-03-27
PROK,1.585,1.77,-10.452,,,,,,2026-03-27
LENZ,8.67,8.94,-3.0201,,,,,,2026-03-27
ACHV,2.64,2.89,-8.6505,,,,,,2026-03-27
ERAS,15.005,15.15,-0.9571,,,,,,2026-03-27
NKTX,2.055,2.15,-4.4186,,,,,,2026-03-27
CGEM,13.01,13.66,-4.7584,,,,,,2026-03-27
RCKT,3.765,4.7,-19.8936,,,,,,2026-03-27
ZURA,5.93,6.05,-1.9835,,,,,,2026-03-27
RGC,23.905,25.59,-6.5846,,,,,,2026-03-27
MAZE,30.93,31.74,-2.552,,,,,,2026-03-27
IDYA,30.66,32.07,-4.3966,,,,,,2026-03-27
QTRX,3.535,3.895,-9.2426,,,,,,2026-03-27
BIOA,16.215,16.26,-0.2768,,,,,,2026-03-27
GHRS,13.25,14.075,-5.8615,,,,,,2026-03-27
OLMA,13.78,14.115,-2.3734,,,,,,2026-03-27
VSTM,5.0,5.3,-5.6604,,,,,,2026-03-27
ORKA,44.91,45.46,-1.2099,,,,,,2026-03-27
IMNM,19.55,20.39,-4.1197,,,,,,2026-03-27
TECX,29.36,30.7,-4.3648,,,,,,2026-03-27
ABVX,103.32,109.52,-5.6611,-24.3437,148.46,4.815,-30.4055,2045.7944,2026-03-27
VNDA,6.97,7.115,-2.0379,,,,,,2026-03-27
RDY,13.535,13.77,-1.7066,,,,,,2026-03-27
VCYT,29.88,32.81,-8.9302,,,,,,2026-03-27
SIGA,5.26,4.97,5.835,,,,,,2026-03-27
AVIR,5.105,5.325,-4.1315,,,,,,2026-03-27
BEAM,22.235,23.64,-5.9433,,,,,,2026-03-27
SABS,3.865,3.835,0.7823,,,,,,2026-03-27
FATE,1.155,1.225,-5.7143,,,,,,2026-03-27
CATX,4.09,4.22,-3.0806,,,,,,2026-03-27
ORGO,2.32,2.41,-3.7344,,,,,,2026-03-27
LCTX,1.5,1.52,-1.3158,,,,,,2026-03-27
PGEN,3.66,3.9,-6.1538,,,,,,2026-03-27
TNGX,19.42,19.87,-2.2647,,,,,,2026-03-27
KOD,37.885,39.775,-4.7517,,,,,,2026-03-27
IOVA,3.565,3.69,-3.3875,,,,,,2026-03-27
EOLS,4.025,4.18,-3.7081,,,,,,2026-03-27
NVCR,11.095,11.76,-5.6548,,,,,,2026-03-27
PHAT,10.68,10.78,-0.9276,,,,,,2026-03-27
RCUS,20.415,21.22,-3.7936,,,,,,2026-03-27
IRWD,3.06,3.15,-2.8571,,,,,,2026-03-27
MBX,28.615,28.29,1.1488,,,,,,2026-03-27
GPCR,46.02,46.2,-0.3896,,,,,,2026-03-27
TBPH,15.105,15.19,-0.5596,,,,,,2026-03-27
AKBA,1.34,1.385,-3.2491,,,,,,2026-03-27
ELDN,2.84,2.95,-3.7288,,,,,,2026-03-27
FENC,5.97,6.51,-8.2949,,,,,,2026-03-27
ANRO,20.625,20.9,-1.3158,,,,,,2026-03-27
DMAC,6.8,6.85,-0.7299,,,,,,2026-03-27
KROS,10.65,11.09,-3.9675,,,,,,2026-03-27
