ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
ABBV,ABBVIE INC.,NYSE,35202010,Pharmaceuticals,368380313600.0,1470414883.4654236,large_cap,True,False,EDGAR,2026-04-27
AMGN,Amgen Inc. Common Stock,NASDAQ,35201010,Biotechnology,189471506432.0,909737931.322225,large_cap,True,True,EDGAR,2026-04-27
GILD,"Gilead Sciences, Inc. Common Stock",NASDAQ,35201010,Biotechnology,175400304640.0,787106466.9702657,large_cap,True,True,EDGAR,2026-04-27
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,NASDAQ,35202010,Pharmaceuticals,114703859712.0,560112978.4512329,large_cap,True,True,EDGAR,2026-04-27
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,78668226560.0,482475277.84403485,large_cap,True,True,EDGAR,2026-04-27
ARGX,argenx SE American Depositary Shares,NASDAQ,35201010,Biotechnology,42375901184.0,234887787.1459961,large_cap,False,True,EDGAR,2026-04-27
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,41749766144.0,356929226.2531535,large_cap,True,True,EDGAR,2026-04-27
ONC,BeOne Medicines Ltd. American Depositary Shares,NASDAQ,35202010,Pharmaceuticals,32613140480.0,63114576.493631996,large_cap,False,True,EDGAR,2026-04-27
INSM,Insmed Incorporated Common Stock,NASDAQ,35202010,Pharmaceuticals,30759256064.0,348048885.97895306,large_cap,True,True,EDGAR,2026-04-27
NTRA,"Natera, Inc. Common Stock",NASDAQ,35203010,Life Science Tools & Services,28033021952.0,250885106.22817993,large_cap,True,True,ETF,2026-04-27
BIIB,Biogen Inc. Common Stock,NASDAQ,35201010,Biotechnology,26755547136.0,221591515.08758545,large_cap,True,True,EDGAR,2026-04-27
UTHR,United Therapeutics Corporation Common Stock,NASDAQ,35202010,Pharmaceuticals,23244013568.0,329456508.96972656,large_cap,True,True,EDGAR,2026-04-27
BNTX,BioNTech SE American Depositary Share,NASDAQ,35201010,Biotechnology,22619281408.0,93304948.00114949,large_cap,False,True,EDGAR,2026-04-27
MRNA,"Moderna, Inc. Common Stock",NASDAQ,35201010,Biotechnology,20694827008.0,317162834.46964264,large_cap,True,True,EDGAR,2026-04-27
ROIV,Roivant Sciences Ltd. Common Shares,NASDAQ,35202010,Pharmaceuticals,19896489984.0,150253302.73949942,large_cap,True,True,EDGAR,2026-04-27
RVMD,"Revolution Medicines, Inc. Common Stock",NASDAQ,35201010,Biotechnology,19442792448.0,418722287.499644,large_cap,True,True,EDGAR,2026-04-27
ILMN,"Illumina, Inc. Common Stock",NASDAQ,35203010,Life Science Tools & Services,18799054848.0,176103410.0337728,large_cap,False,True,ETF,2026-04-27
INCY,Incyte Corp. Common Stock,NASDAQ,35201010,Biotechnology,18357094400.0,136534437.51764932,large_cap,True,True,ETF,2026-04-27
GMAB,Genmab A/S ADS,NASDAQ,35202010,Pharmaceuticals,15894354944.0,43878351.02916082,large_cap,False,True,EDGAR,2026-04-27
ASND,Ascendis Pharma A/S American Depositary Shares,NASDAQ,35202010,Pharmaceuticals,13961417728.0,133047010.29993694,large_cap,False,True,EDGAR,2026-04-27
BBIO,"BridgeBio Pharma, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,13593664512.0,126780787.78470357,large_cap,True,True,EDGAR,2026-04-27
NBIX,"Neurocrine Biosciences, Inc. Common Stock",NASDAQ,35201010,Biotechnology,13118509056.0,141715909.59780374,large_cap,True,True,EDGAR,2026-04-27
MEDP,"Medpace Holdings, Inc. Common Stock",NASDAQ,35203010,Life Science Tools & Services,12907807744.0,186532248.180542,large_cap,False,True,ETF,2026-04-27
SMMT,Summit Therapeutics Inc. Common Stock,NASDAQ,35202010,Pharmaceuticals,12095813632.0,71431156.50104205,large_cap,True,True,EDGAR,2026-04-27
IONS,"Ionis Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,11839311872.0,141206803.78977457,large_cap,True,True,EDGAR,2026-04-27
EXEL,"Exelixis, Inc. Common Stock",NASDAQ,35201010,Biotechnology,11062306816.0,105386434.80116527,large_cap,True,True,EDGAR,2026-04-27
BMRN,BioMarin Pharmaceutical Inc. Common Stock,NASDAQ,35202010,Pharmaceuticals,10660484096.0,98258473.0922699,large_cap,True,True,EDGAR,2026-04-27
MDGL,"Madrigal Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,10139465728.0,174941641.38437906,large_cap,True,True,EDGAR,2026-04-27
ABVX,Abivax SA American Depositary Shares,NASDAQ,35202010,Pharmaceuticals,9804214272.0,116977080.36465962,mid_cap,False,True,EDGAR,2026-04-27
IBRX,"ImmunityBio, Inc. Common Stock",NASDAQ,35201010,Biotechnology,8800634880.0,164902938.18394342,mid_cap,True,True,EDGAR,2026-04-27
TEM,"Tempus AI, Inc. Class A Common Stock",NASDAQ,,,8704491520.0,257331648.25417838,mid_cap,False,True,ETF,2026-04-27
AXSM,"Axsome Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,8075569152.0,101597765.10060628,mid_cap,False,True,EDGAR,2026-04-27
PRAX,"Praxis Precision Medicines, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,8043041792.0,130713235.73730469,mid_cap,True,True,EDGAR,2026-04-27
TECH,Bio-Techne Corp Common Stock,NASDAQ,35201010,Biotechnology,7949392384.0,112213805.31907399,mid_cap,False,True,EDGAR,2026-04-27
ARWR,"Arrowhead Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,7941225472.0,137869231.17491403,mid_cap,True,True,EDGAR,2026-04-27
PCVX,"Vaxcyte, Inc. Common Stock",NASDAQ,35201010,Biotechnology,7881795584.0,73465731.66163127,mid_cap,True,True,EDGAR,2026-04-27
CRL,"Charles River Laboratories International, Inc.",NYSE,35203010,Life Science Tools & Services,7734179840.0,142762797.59994507,mid_cap,False,True,ETF,2026-04-27
NUVL,"Nuvalent, Inc. Class A Common Stock",NASDAQ,35202010,Pharmaceuticals,7659654144.0,64729889.06000773,mid_cap,True,True,EDGAR,2026-04-27
CYTK,"Cytokinetics, Incorporated Common Stock",NASDAQ,35202010,Pharmaceuticals,7659494912.0,114126239.42838033,mid_cap,True,True,EDGAR,2026-04-27
HALO,"Halozyme Therapeutics, Inc. Common Stock",NASDAQ,35201010,Biotechnology,7511782400.0,94332071.54866536,mid_cap,True,True,EDGAR,2026-04-27
KRYS,"Krystal Biotech, Inc. Common Stock",NASDAQ,35201010,Biotechnology,7332310016.0,72664896.4263916,mid_cap,True,True,EDGAR,2026-04-27
ACLX,"Arcellx, Inc. Common Stock",NASDAQ,35201010,Biotechnology,6696523264.0,126963839.38819885,mid_cap,True,True,EDGAR,2026-04-27
RGEN,Repligen Corporation Common Stock,NASDAQ,35201010,Biotechnology,6623975424.0,111275171.05957031,mid_cap,False,True,EDGAR,2026-04-27
GRFS,"Grifols, S.A. American Depositary Shares",NASDAQ,35202010,Pharmaceuticals,6463820288.0,6358720.620112419,mid_cap,False,True,EDGAR,2026-04-27
KYMR,"Kymera Therapeutics, Inc. Common Stock",NASDAQ,35201010,Biotechnology,6461178880.0,47948283.20022583,mid_cap,True,True,EDGAR,2026-04-27
PTGX,"Protagonist Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,6195188224.0,88268449.7488149,mid_cap,True,True,EDGAR,2026-04-27
RYTM,"Rhythm Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,5862953472.0,79393748.4029897,mid_cap,True,True,EDGAR,2026-04-27
COGT,"Cogent Biosciences, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,5578553856.0,84306649.89953358,mid_cap,True,True,EDGAR,2026-04-27
PTCT,"PTC Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,5545906688.0,65195497.79240926,mid_cap,True,True,EDGAR,2026-04-27
MIRM,"Mirum Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,5530912768.0,78227545.75846355,mid_cap,True,True,EDGAR,2026-04-27
CGON,"CG Oncology, Inc. Common stock",NASDAQ,35201010,Biotechnology,5441848320.0,91102400.82043965,mid_cap,True,True,EDGAR,2026-04-27
XENE,Xenon Pharmaceuticals Inc. Common Shares,NASDAQ,35202010,Pharmaceuticals,5255173632.0,66071240.02192179,mid_cap,False,True,EDGAR,2026-04-27
CAI,"Caris Life Sciences, Inc. Common Stock",NASDAQ,35201010,Biotechnology,5219250688.0,44100405.15043259,mid_cap,False,True,ETF,2026-04-27
CELC,Celcuity Inc. Common Stock,NASDAQ,35201010,Biotechnology,5205979648.0,87271027.59641011,mid_cap,True,False,ETF,2026-04-27
TERN,"Terns Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,5196900352.0,499994248.4365209,mid_cap,False,True,EDGAR,2026-04-27
BRKR,Bruker Corporation Common Stock,NASDAQ,,,5180020736.0,75758671.38406117,mid_cap,False,True,ETF,2026-04-27
IMVT,"Immunovant, Inc. Common Stock",NASDAQ,35201010,Biotechnology,4803359232.0,39762722.13133494,mid_cap,True,True,EDGAR,2026-04-27
TGTX,"TG Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,4797035520.0,69686801.15964253,mid_cap,True,False,EDGAR,2026-04-27
APGE,"Apogee Therapeutics, Inc. Common Stock",NASDAQ,35201010,Biotechnology,4596957696.0,82483703.6112976,mid_cap,True,True,EDGAR,2026-04-27
CRSP,CRISPR Therapeutics AG Common Shares,NASDAQ,35201010,Biotechnology,4577539584.0,87319418.00079346,mid_cap,True,True,EDGAR,2026-04-27
SRRK,Scholar Rock Holding Corporation Common Stock,NASDAQ,35201010,Biotechnology,4571198464.0,80046452.1036911,mid_cap,True,True,EDGAR,2026-04-27
ALKS,Alkermes plc Ordinary Shares,NASDAQ,35202010,Pharmaceuticals,4532878336.0,81522023.25066249,mid_cap,True,True,EDGAR,2026-04-27
FOLD,"Amicus Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,4512189952.0,47191878.52702141,mid_cap,True,True,EDGAR,2026-04-27
ERAS,"Erasca, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,4195793920.0,108411346.20705605,mid_cap,True,True,EDGAR,2026-04-27
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,NASDAQ,35202010,Pharmaceuticals,4193834496.0,155230364.92444357,mid_cap,False,True,EDGAR,2026-04-27
STVN,Stevanato Group S.p.A.,NYSE,,,4157846016.0,8591968.874142965,mid_cap,False,True,ETF,2026-04-27
VKTX,"Viking Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,3876846592.0,77442014.75749333,mid_cap,True,False,EDGAR,2026-04-27
CRNX,"Crinetics Pharmaceuticals, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,3774627072.0,42228808.400154114,mid_cap,False,True,EDGAR,2026-04-27
GPCR,Structure Therapeutics Inc. American Depositary Shares,NASDAQ,35202010,Pharmaceuticals,3675981312.0,53384007.33078003,mid_cap,False,True,EDGAR,2026-04-27
ADMA,ADMA Biologics Inc Common Stock,NASDAQ,35201010,Biotechnology,3541426688.0,92055951.25198047,mid_cap,True,True,EDGAR,2026-04-27
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,35202010,Pharmaceuticals,3464450304.0,41947482.551670074,mid_cap,True,True,EDGAR,2026-04-27
DNTH,"Dianthus Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,3408572672.0,79540120.95713298,mid_cap,True,False,EDGAR,2026-04-27
NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares,NASDAQ,35202010,Pharmaceuticals,3384876544.0,27778550.605125427,mid_cap,False,True,EDGAR,2026-04-27
SYRE,"Spyre Therapeutics, Inc. Common Stock",NASDAQ,35202010,Pharmaceuticals,3381939456.0,71907010.51263173,mid_cap,True,True,EDGAR,2026-04-27
